Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
1999-03-10,51.125,51.1562,50.2812,51.0625,43.1842,5232000,0.0,0.0,0.0
1999-03-11,51.4375,51.7344,50.3125,51.3125,43.3956,9688600,0.0,0.0,0.0
1999-03-12,51.125,51.1562,49.6562,50.0625,42.3385,8743600,0.0,0.0,0.0
1999-03-15,50.4375,51.5625,49.9062,51.5,43.5542,6369000,0.0,0.0,0.0
1999-03-16,51.7188,52.1562,51.1562,51.9375,43.9242,4905800,0.0,0.0,0.0
1999-03-17,51.9375,52.0,51.4062,51.5625,43.6071,3965000,0.0,0.0,0.0
1999-03-18,51.5,52.5938,51.4844,52.5625,44.4528,4848400,0.0,0.0,0.0
1999-03-19,53.25,53.25,51.1875,51.2188,43.3164,7160400,0.0,0.0,0.0
1999-03-22,51.4375,51.5625,50.5,50.5938,42.7878,5024800,0.0,0.0,0.0
1999-03-23,50.3125,50.5,48.7188,48.8125,41.2814,10962400,0.0,0.0,0.0
1999-03-24,49.25,50.5,48.5,50.4688,42.6821,8447000,0.0,0.0,0.0
1999-03-25,51.25,52.3125,50.9141,52.3125,44.2414,8133800,0.0,0.0,0.0
1999-03-26,51.875,52.4688,51.5312,51.75,43.7656,8256200,0.0,0.0,0.0
1999-03-29,52.375,53.6562,52.0625,53.625,45.3514,5113800,0.0,0.0,0.0
1999-03-30,53.5625,54.0,53.0312,53.25,45.0342,4940600,0.0,0.0,0.0
1999-03-31,54.125,54.1875,52.3125,52.4688,44.3735,8256600,0.0,0.0,0.0
1999-04-01,54.0,54.0625,52.6875,53.5625,45.2985,8715800,0.0,0.0,0.0
1999-04-05,54.4297,55.5781,54.0938,55.5,46.9371,5697200,0.0,0.0,0.0
1999-04-06,55.4375,56.2188,54.9688,55.6094,47.0296,7522400,0.0,0.0,0.0
1999-04-07,56.125,56.25,53.8438,55.0312,46.5406,11923600,0.0,0.0,0.0
1999-04-08,54.9375,55.7344,53.8125,55.4688,46.9106,7952400,0.0,0.0,0.0
1999-04-09,55.375,55.9375,55.2188,55.8125,47.2014,4946800,0.0,0.0,0.0
1999-04-12,54.5,55.8125,54.4375,55.4375,46.8842,10934000,0.0,0.0,0.0
1999-04-13,55.7812,55.9062,54.25,54.6875,46.2499,9962200,0.0,0.0,0.0
1999-04-14,55.375,55.4375,52.5078,52.8125,44.6642,21253800,0.0,0.0,0.0
1999-04-15,53.0,53.6172,51.125,53.5312,45.2721,17650600,0.0,0.0,0.0
1999-04-16,53.4062,53.4062,51.6875,51.9688,43.9506,17274000,0.0,0.0,0.0
1999-04-19,52.3125,52.75,49.0078,49.5312,41.8892,19460600,0.0,0.0,0.0
1999-04-20,49.3125,51.0625,48.8438,50.6562,42.8406,17413600,0.0,0.0,0.0
1999-04-21,51.125,53.1875,50.4375,53.1562,44.9549,10940400,0.0,0.0,0.0
1999-04-22,53.6562,54.75,53.3047,54.5938,46.1706,13630600,0.0,0.0,0.0
1999-04-23,54.3125,55.7188,53.75,55.3125,46.7785,7064400,0.0,0.0,0.0
1999-04-26,55.6875,57.0,55.5078,56.5859,47.8555,5421000,0.0,0.0,0.0
1999-04-27,57.0,57.2812,55.0078,55.7188,47.1221,16482800,0.0,0.0,0.0
1999-04-28,55.25,55.4375,53.5703,53.8125,45.5099,7676800,0.0,0.0,0.0
1999-04-29,53.5625,53.875,52.25,53.375,45.1399,19148200,0.0,0.0,0.0
1999-04-30,54.125,54.4062,51.8125,53.7188,45.4306,15295200,0.0,0.0,0.0
1999-05-03,53.5625,53.7812,52.5391,53.4375,45.1928,11109800,0.0,0.0,0.0
1999-05-04,53.5312,54.375,52.2812,52.5938,44.4792,15428400,0.0,0.0,0.0
1999-05-05,52.625,54.1875,51.0312,54.1875,45.8271,12642600,0.0,0.0,0.0
1999-05-06,53.6875,54.1562,51.7188,52.2188,44.1621,15173400,0.0,0.0,0.0
1999-05-07,52.6875,53.125,51.5625,52.9688,44.7963,16430400,0.0,0.0,0.0
1999-05-10,53.3125,53.8594,52.6875,53.5,45.2456,10604200,0.0,0.0,0.0
1999-05-11,53.9375,54.625,53.625,54.3438,45.9592,8800800,0.0,0.0,0.0
1999-05-12,54.5938,55.6562,53.0,55.4688,46.9106,12507400,0.0,0.0,0.0
1999-05-13,55.9062,56.0,54.1875,54.4375,46.0385,9864000,0.0,0.0,0.0
1999-05-14,53.375,54.0,53.0,53.4062,45.1663,12205400,0.0,0.0,0.0
1999-05-17,52.9375,54.5312,52.4141,54.3672,45.979,9906800,0.0,0.0,0.0
1999-05-18,54.3125,54.625,53.5,54.125,45.7742,9267800,0.0,0.0,0.0
1999-05-19,54.3438,54.9062,53.5,54.875,46.4085,7985600,0.0,0.0,0.0
1999-05-20,54.9922,54.9922,53.2812,53.3672,45.1333,5997200,0.0,0.0,0.0
1999-05-21,53.5312,53.6875,52.5938,52.875,44.7171,10958600,0.0,0.0,0.0
1999-05-24,52.9688,53.0625,51.1875,51.5312,43.5806,9569800,0.0,0.0,0.0
1999-05-25,51.4688,52.2188,49.625,49.8438,42.1535,17771200,0.0,0.0,0.0
1999-05-26,50.5,51.4375,48.9375,51.2344,43.3296,26772000,0.0,0.0,0.0
1999-05-27,51.0312,51.9297,50.375,51.1875,43.2899,23334800,0.0,0.0,0.0
1999-05-28,51.5,52.3125,50.8438,52.0312,44.0035,12969800,0.0,0.0,0.0
1999-06-01,51.9375,52.1875,50.5938,50.875,43.0256,6960200,0.0,0.0,0.0
1999-06-02,50.8438,52.0,49.5703,51.7344,43.7524,11996600,0.0,0.0,0.0
1999-06-03,52.125,52.125,50.6875,51.0,43.1314,11147800,0.0,0.0,0.0
1999-06-04,51.375,52.7422,51.375,52.5625,44.4528,12987200,0.0,0.0,0.0
1999-06-07,52.9297,53.9922,52.8125,53.6562,45.3778,11491800,0.0,0.0,0.0
1999-06-08,53.7812,54.0312,52.0391,52.3125,44.2414,8134800,0.0,0.0,0.0
1999-06-09,52.5,53.3359,52.4688,53.1875,44.9814,8384400,0.0,0.0,0.0
1999-06-10,52.625,52.9375,51.9453,52.5781,44.466,9392400,0.0,0.0,0.0
1999-06-11,52.9375,52.9922,51.3125,51.7812,43.7921,16567600,0.0,0.0,0.0
