Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2008-11-05,4.8117,4.8992,4.1767,4.25,3.2887,229200,0.0,0.0,0.0
2008-11-06,4.15,4.1975,3.5525,3.6,2.7857,4332000,0.0,0.0,0.0
2008-11-07,3.7075,3.8875,3.6117,3.8542,2.9824,6978000,0.0,0.0,0.0
2008-11-10,4.15,4.1617,3.5842,3.7042,2.8663,5785200,0.0,0.0,0.0
2008-11-11,3.5417,3.6875,3.2917,3.4592,2.6768,11479200,0.0,0.0,0.0
2008-11-12,3.3275,3.3275,3.0175,3.0742,2.3788,13312800,0.0,0.0,0.0
2008-11-13,3.0517,3.5333,2.5642,3.5183,2.7225,32067600,0.0,0.0,0.0
2008-11-14,3.2708,3.5833,3.0417,3.0675,2.3737,34303200,0.0,0.0,0.0
2008-11-17,2.9567,3.1708,2.8333,2.8508,2.206,44524800,0.0,0.0,0.0
2008-11-18,2.8367,2.995,2.5958,2.8767,2.226,61130400,0.0,0.0,0.0
2008-11-19,2.875,2.9708,2.3667,2.4133,1.8675,75193200,0.0,0.0,0.0
2008-11-20,2.3242,2.4975,1.8467,1.9967,1.5451,137044800,0.0,0.0,0.0
2008-11-21,2.2667,2.27,1.8058,2.2225,1.7198,124576800,0.0,0.0,0.0
2008-11-24,2.3717,2.7975,2.3167,2.5975,2.01,98185200,0.0,0.0,0.0
2008-11-25,2.8342,2.8458,2.525,2.7425,2.1222,80054400,0.0,0.0,0.0
2008-11-26,2.5875,3.045,2.5758,3.0283,2.3434,61237200,0.0,0.0,0.0
2008-11-28,2.9917,3.125,2.9792,3.1183,2.413,21645600,0.0,0.0,0.0
2008-12-01,2.8725,2.8817,2.2817,2.3083,1.7862,101854800,0.0,0.0,0.0
2008-12-02,2.4233,2.5733,2.31,2.5525,1.9752,109262400,0.0,0.0,0.0
2008-12-03,2.3883,2.7867,2.3667,2.7442,2.1235,136166400,0.0,0.0,0.0
2008-12-04,2.6458,2.8258,2.4033,2.525,1.9539,109459200,0.0,0.0,0.0
2008-12-05,2.415,2.8167,2.2833,2.7817,2.1525,167187600,0.0,0.0,0.0
2008-12-08,3.0333,3.2067,2.9742,3.0917,2.3924,142784400,0.0,0.0,0.0
2008-12-09,3.0125,3.2042,2.8792,2.9175,2.2576,126266400,0.0,0.0,0.0
2008-12-10,3.0183,3.1192,2.8958,3.0092,2.3285,125726400,0.0,0.0,0.0
2008-12-11,2.9542,3.0975,2.7217,2.7867,2.1564,113610000,0.0,0.0,0.0
2008-12-12,2.5433,2.885,2.5167,2.8608,2.2138,142026000,0.0,0.0,0.0
2008-12-15,2.9033,2.9167,2.6308,2.7383,2.119,91215600,0.0,0.0,0.0
2008-12-16,2.8192,3.1575,2.8108,3.1558,2.442,121978800,0.0,0.0,0.0
2008-12-17,3.0508,3.2292,2.9842,3.075,2.3836,118600800,0.0055,0.0,0.0
2008-12-18,3.1192,3.1408,2.7967,2.905,2.2519,94359600,0.0,0.0,0.0
2008-12-19,2.9425,3.0758,2.8583,2.8992,2.2473,97183200,0.0,0.0,0.0
2008-12-22,2.91,2.9167,2.6033,2.7667,2.1446,76341600,0.0,0.0,0.0
2008-12-23,2.7983,2.8358,2.6483,2.6792,2.0768,68952000,0.0,0.0,0.0
2008-12-24,2.7133,2.7367,2.6567,2.7108,2.1013,17952000,0.0,0.0,0.0
2008-12-26,2.7725,2.7783,2.705,2.7675,2.1453,19194000,0.0,0.0,0.0
2008-12-29,2.7875,2.7875,2.62,2.75,2.1317,46562400,0.0,0.0,0.0
2008-12-30,2.7958,2.9358,2.7542,2.9325,2.2732,57126000,0.0,0.0,0.0
2008-12-31,2.9442,3.1283,2.9267,3.0325,2.3507,65361600,0.0,0.0,0.0
2009-01-02,3.09,3.385,3.025,3.3292,2.5807,87174000,0.0,0.0,0.0
2009-01-05,3.2917,3.4283,3.2242,3.3292,2.5807,111709200,0.0,0.0,0.0
2009-01-06,3.4192,3.5083,3.3225,3.41,2.6433,119607600,0.0,0.0,0.0
2009-01-07,3.2308,3.2808,3.0458,3.1233,2.4211,116395200,0.0,0.0,0.0
2009-01-08,3.0517,3.155,3.0092,3.155,2.4456,104341200,0.0,0.0,0.0
2009-01-09,3.1758,3.1858,2.925,2.9475,2.2848,114417600,0.0,0.0,0.0
2009-01-12,2.9192,2.9283,2.6792,2.7333,2.1188,85770000,0.0,0.0,0.0
2009-01-13,2.7033,2.8083,2.6617,2.7442,2.1272,123522000,0.0,0.0,0.0
2009-01-14,2.6075,2.6225,2.43,2.4758,1.9192,158102400,0.0,0.0,0.0
2009-01-15,2.46,2.5767,2.2567,2.5083,1.9444,200223600,0.0,0.0,0.0
2009-01-16,2.6317,2.6417,2.385,2.5583,1.9831,209690400,0.0,0.0,0.0
2009-01-20,2.4842,2.505,2.1442,2.1625,1.6763,207566400,0.0,0.0,0.0
2009-01-21,2.2633,2.435,2.1417,2.4242,1.8791,180774000,0.0,0.0,0.0
2009-01-22,2.285,2.4217,2.1758,2.3025,1.7848,200959200,0.0,0.0,0.0
2009-01-23,2.145,2.415,2.125,2.345,1.8178,213451200,0.0,0.0,0.0
2009-01-26,2.3875,2.5367,2.3158,2.3708,1.8378,203494800,0.0,0.0,0.0
2009-01-27,2.42,2.5075,2.375,2.4608,1.9076,165728400,0.0,0.0,0.0
2009-01-28,2.6258,2.7525,2.5942,2.68,2.0774,189104400,0.0,0.0,0.0
2009-01-29,2.5792,2.6042,2.4342,2.4467,1.8966,157486800,0.0,0.0,0.0
2009-01-30,2.4783,2.51,2.2442,2.2933,1.7777,200570400,0.0,0.0,0.0
2009-02-02,2.1875,2.3183,2.1667,2.2758,1.7641,156507600,0.0,0.0,0.0
2009-02-03,2.3208,2.4133,2.2417,2.3608,1.83,160300800,0.0,0.0,0.0
2009-02-04,2.4083,2.5,2.3125,2.3275,1.8042,184461600,0.0,0.0,0.0
2009-02-05,2.2792,2.5008,2.2358,2.4517,1.9004,242638800,0.0,0.0,0.0
