Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2006-06-21,4.43,4.4881,4.4262,4.4688,3.6654,4436800,0.0,0.0,0.0
2006-06-22,4.4425,4.4425,4.3913,4.4212,3.6265,2185600,0.0,0.0,0.0
2006-06-23,4.395,4.4612,4.3831,4.4206,3.626,713600,0.0,0.0,0.0
2006-06-26,4.4219,4.4481,4.4069,4.4462,3.647,603200,0.0,0.0,0.0
2006-06-27,4.4606,4.4606,4.3675,4.3675,3.5824,1835200,0.0,0.0,0.0
2006-06-28,4.3806,4.4187,4.3562,4.4062,3.6142,681600,0.0,0.0,0.0
2006-06-29,4.4688,4.5931,4.4619,4.5931,3.7675,1068800,0.0,0.0,0.0
2006-06-30,4.6256,4.6312,4.5906,4.5906,3.7654,1449600,0.0,0.0,0.0
2006-07-03,4.6156,4.6531,4.61,4.6531,3.8167,454400,0.0,0.0,0.0
2006-07-05,4.6031,4.6106,4.5556,4.5912,3.7659,1184000,0.0,0.0,0.0
2006-07-06,4.6062,4.6381,4.5912,4.6056,3.7777,1865600,0.0,0.0,0.0
2006-07-07,4.5719,4.6112,4.53,4.5525,3.7341,1137600,0.0,0.0,0.0
2006-07-10,4.5906,4.6081,4.5437,4.5606,3.7408,1152000,0.0,0.0,0.0
2006-07-11,4.5406,4.6025,4.5044,4.5994,3.7726,3080000,0.0,0.0,0.0
2006-07-12,4.5944,4.5963,4.49,4.5087,3.6982,2051200,0.0,0.0,0.0
2006-07-13,4.4481,4.47,4.3694,4.3725,3.5865,2780800,0.0,0.0,0.0
2006-07-14,4.3587,4.3719,4.2812,4.3331,3.5542,2417600,0.0,0.0,0.0
2006-07-17,4.3394,4.3625,4.3,4.3288,3.5506,910400,0.0,0.0,0.0
2006-07-18,4.3594,4.4156,4.2569,4.3356,3.5562,3278400,0.0,0.0,0.0
2006-07-19,4.375,4.5125,4.3744,4.4844,3.6783,3504000,0.0,0.0,0.0
2006-07-20,4.525,4.5312,4.4219,4.4319,3.6352,1844800,0.0,0.0,0.0
2006-07-21,4.3938,4.4131,4.3444,4.3619,3.5778,2054400,0.0,0.0,0.0
2006-07-24,4.4044,4.5087,4.4044,4.5,3.6911,2134400,0.0,0.0,0.0
2006-07-25,4.4913,4.5806,4.4706,4.5569,3.7377,2742400,0.0,0.0,0.0
2006-07-26,4.5275,4.5963,4.5087,4.5656,3.7449,2211200,0.0,0.0,0.0
2006-07-27,4.5994,4.6125,4.5037,4.5219,3.709,2864000,0.0,0.0,0.0
2006-07-28,4.5444,4.6413,4.5413,4.625,3.7936,1806400,0.0,0.0,0.0
2006-07-31,4.625,4.625,4.595,4.6125,3.7833,908800,0.0,0.0,0.0
2006-08-01,4.5625,4.5969,4.5281,4.5712,3.7495,836800,0.0,0.0,0.0
2006-08-02,4.6169,4.6594,4.595,4.6062,3.7782,1172800,0.0,0.0,0.0
2006-08-03,4.5625,4.6638,4.5625,4.6294,3.7972,1441600,0.0,0.0,0.0
2006-08-04,4.7312,4.7344,4.5875,4.6281,3.7962,2753600,0.0,0.0,0.0
2006-08-07,4.6,4.6219,4.5813,4.6025,3.7751,785600,0.0,0.0,0.0
2006-08-08,4.6375,4.6462,4.545,4.565,3.7444,923200,0.0,0.0,0.0
2006-08-09,4.6069,4.6537,4.525,4.53,3.7157,1115200,0.0,0.0,0.0
2006-08-10,4.5188,4.5781,4.5006,4.57,3.7485,2590400,0.0,0.0,0.0
2006-08-11,4.5625,4.5625,4.5062,4.5369,3.7213,1950400,0.0,0.0,0.0
2006-08-14,4.5931,4.6725,4.5394,4.5525,3.7341,1545600,0.0,0.0,0.0
2006-08-15,4.6231,4.675,4.6112,4.6644,3.8259,1350400,0.0,0.0,0.0
2006-08-16,4.6969,4.7506,4.6919,4.7425,3.89,1792000,0.0,0.0,0.0
2006-08-17,4.7413,4.7869,4.73,4.7619,3.9059,3046400,0.0,0.0,0.0
2006-08-18,4.7775,4.7937,4.7306,4.7812,3.9218,1331200,0.0,0.0,0.0
2006-08-21,4.75,4.7712,4.7438,4.7587,3.9033,649600,0.0,0.0,0.0
2006-08-22,4.7537,4.7913,4.7344,4.7669,3.91,1113600,0.0,0.0,0.0
2006-08-23,4.7731,4.7875,4.6975,4.7238,3.8746,996800,0.0,0.0,0.0
2006-08-24,4.7562,4.7562,4.7112,4.7413,3.889,1408000,0.0,0.0,0.0
2006-08-25,4.7337,4.7712,4.7238,4.75,3.8961,635200,0.0,0.0,0.0
2006-08-28,4.745,4.8075,4.7319,4.7906,3.9295,1110400,0.0,0.0,0.0
2006-08-29,4.7869,4.8144,4.7419,4.8131,3.9479,947200,0.0,0.0,0.0
2006-08-30,4.8313,4.8313,4.7387,4.8125,3.9474,470400,0.0,0.0,0.0
2006-08-31,4.7969,4.8187,4.7937,4.8088,3.9443,444800,0.0,0.0,0.0
2006-09-01,4.8281,4.8625,4.8137,4.8575,3.9843,905600,0.0,0.0,0.0
2006-09-05,4.8544,4.8825,4.8387,4.8663,3.9915,984000,0.0,0.0,0.0
2006-09-06,4.8394,4.8394,4.7688,4.7812,3.9218,902400,0.0,0.0,0.0
2006-09-07,4.7381,4.7806,4.715,4.7331,3.8823,1017600,0.0,0.0,0.0
2006-09-08,4.7456,4.7756,4.73,4.7669,3.91,902400,0.0,0.0,0.0
