Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2010-09-09,102.5,102.5,101.14,101.32,76.9942,26500,0.0,0.0,0.0
2010-09-10,101.68,101.86,101.3,101.78,77.3438,8600,0.0,0.0,0.0
2010-09-13,102.96,103.14,102.5,103.06,78.3165,33750,0.0,0.0,0.0
2010-09-14,102.84,103.48,102.38,103.04,78.3013,59400,0.0,0.0,0.0
2010-09-15,102.62,103.38,102.4,103.3,78.4989,9250,0.0,0.0,0.0
2010-09-16,103.02,103.32,102.7,103.26,78.4685,59550,0.0,0.0,0.0
2010-09-17,103.88,103.88,103.02,103.36,78.5445,49350,0.0,0.0,0.0
2010-09-20,103.74,105.04,103.46,105.04,79.8211,19000,0.0,0.0,0.0
2010-09-21,105.02,105.44,104.28,104.72,79.5779,19250,0.0,0.0,0.0
2010-09-22,104.56,105.04,103.96,104.16,79.1524,18100,0.0,0.0,0.0
2010-09-23,103.32,104.34,103.12,103.3,78.4989,33350,0.0,0.0,0.0
2010-09-24,103.94,104.9,103.86,104.84,80.1018,24100,0.558,0.0,0.0
2010-09-27,104.98,104.98,104.34,104.34,79.7198,15000,0.0,0.0,0.0
2010-09-28,104.32,105.02,103.42,105.02,80.2393,49850,0.0,0.0,0.0
2010-09-29,104.58,104.92,104.22,104.52,79.8573,15900,0.0,0.0,0.0
2010-09-30,105.2,105.68,103.96,104.36,79.7351,44750,0.0,0.0,0.0
2010-10-01,105.08,105.16,104.16,104.72,80.0101,17100,0.0,0.0,0.0
2010-10-04,105.26,105.26,103.5,103.84,79.3378,88700,0.0,0.0,0.0
2010-10-05,105.02,106.2,104.82,106.12,81.0798,19850,0.0,0.0,0.0
2010-10-06,106.12,106.28,105.62,105.94,80.9423,276900,0.0,0.0,0.0
2010-10-07,106.5,106.5,105.32,105.88,80.8964,49900,0.0,0.0,0.0
2010-10-08,106.02,106.74,105.66,106.68,81.5076,61550,0.0,0.0,0.0
2010-10-11,106.72,106.84,106.28,106.5,81.3701,14200,0.0,0.0,0.0
2010-10-12,106.38,107.24,105.74,107.12,81.8438,42050,0.0,0.0,0.0
2010-10-13,107.58,108.28,107.24,107.76,82.3328,74450,0.0,0.0,0.0
2010-10-14,107.7,107.82,106.8,107.36,82.0272,19100,0.0,0.0,0.0
2010-10-15,108.04,108.08,106.72,107.56,82.18,54950,0.0,0.0,0.0
2010-10-18,107.62,108.44,107.44,108.34,82.7759,22850,0.0,0.0,0.0
2010-10-19,107.14,107.68,106.02,106.62,81.4618,38550,0.0,0.0,0.0
2010-10-20,106.94,108.16,106.94,107.76,82.3328,22800,0.0,0.0,0.0
2010-10-21,108.26,108.76,107.3,107.92,82.455,29400,0.0,0.0,0.0
2010-10-22,108.16,108.2,107.94,108.18,82.6537,24850,0.0,0.0,0.0
2010-10-25,109.02,109.28,108.46,108.5,82.8982,29600,0.0,0.0,0.0
2010-10-26,107.92,108.56,107.88,108.48,82.8829,15000,0.0,0.0,0.0
2010-10-27,107.74,108.22,107.22,108.14,82.6231,17150,0.0,0.0,0.0
2010-10-28,108.76,108.82,107.76,108.22,82.6842,19250,0.0,0.0,0.0
2010-10-29,108.1,108.42,108.0,108.3,82.7454,13400,0.0,0.0,0.0
2010-11-01,108.92,109.42,107.76,108.36,82.7912,51550,0.0,0.0,0.0
2010-11-02,109.22,109.42,108.86,109.2,83.433,26100,0.0,0.0,0.0
2010-11-03,109.42,109.66,108.32,109.66,83.7845,31850,0.0,0.0,0.0
2010-11-04,110.9,111.8,110.74,111.72,85.3584,49000,0.0,0.0,0.0
2010-11-05,111.9,112.3,111.68,112.16,85.6946,48300,0.0,0.0,0.0
2010-11-08,111.88,112.08,111.5,112.02,85.5876,43400,0.0,0.0,0.0
2010-11-09,112.18,112.3,110.8,111.14,84.9152,35700,0.0,0.0,0.0
2010-11-10,111.16,111.6,110.32,111.56,85.2361,28200,0.0,0.0,0.0
2010-11-11,110.68,111.28,110.42,111.2,84.9611,24000,0.0,0.0,0.0
2010-11-12,110.4,110.86,109.38,109.82,83.9067,39450,0.0,0.0,0.0
2010-11-15,110.3,110.52,109.64,109.72,83.8303,202750,0.0,0.0,0.0
2010-11-16,109.02,109.02,107.48,107.96,82.4856,32850,0.0,0.0,0.0
2010-11-17,108.06,108.46,107.78,108.04,82.5467,42450,0.0,0.0,0.0
2010-11-18,109.08,109.92,109.08,109.64,83.7692,26100,0.0,0.0,0.0
2010-11-19,109.5,109.94,109.04,109.9,83.9678,20250,0.0,0.0,0.0
2010-11-22,109.42,109.8,108.58,109.8,83.8914,25350,0.0,0.0,0.0
2010-11-23,108.56,108.64,107.92,108.26,82.7148,142400,0.0,0.0,0.0
2010-11-24,108.94,109.78,108.94,109.66,83.7845,30100,0.0,0.0,0.0
2010-11-26,108.96,109.4,108.82,109.04,83.3108,32650,0.0,0.0,0.0
2010-11-29,108.36,109.16,107.66,108.94,83.2344,46000,0.0,0.0,0.0
2010-11-30,107.96,108.86,107.82,108.18,82.6537,91950,0.0,0.0,0.0
2010-12-01,109.92,110.74,109.88,110.62,84.5179,33350,0.0,0.0,0.0
2010-12-02,110.74,112.1,110.74,112.06,85.6182,60650,0.0,0.0,0.0
2010-12-03,111.66,112.46,111.64,112.34,85.8321,184100,0.0,0.0,0.0
2010-12-06,112.16,112.42,112.0,112.2,85.7251,64150,0.0,0.0,0.0
2010-12-07,113.34,113.38,112.2,112.24,85.7557,109000,0.0,0.0,0.0
2010-12-08,112.4,112.74,111.96,112.7,86.1072,69050,0.0,0.0,0.0
2010-12-09,113.34,113.34,112.66,113.12,86.428,54850,0.0,0.0,0.0
2010-12-10,113.48,113.88,113.22,113.8,86.9476,73950,0.0,0.0,0.0
2010-12-13,114.32,114.44,113.82,113.86,86.9934,77050,0.0,0.0,0.0
2010-12-14,114.12,114.36,113.66,113.92,87.0393,59650,0.0,0.0,0.0
2010-12-15,113.74,114.2,113.24,113.42,86.6573,43600,0.0,0.0,0.0
2010-12-16,113.56,114.16,113.12,114.08,87.1615,60600,0.0,0.0,0.0
2010-12-17,114.0,114.34,113.82,114.24,87.2838,59150,0.0,0.0,0.0
2010-12-20,114.58,114.74,113.96,114.48,87.4671,72600,0.0,0.0,0.0
2010-12-21,114.86,115.3,114.78,115.18,88.002,76200,0.0,0.0,0.0
2010-12-22,115.34,115.6,115.24,115.6,88.3229,108250,0.0,0.0,0.0
